"review","NPS"
"У нас очень мало включенных площадок. Фишки работают только Букинг. Островок, когда, никогда. Все остальные как-то никак. Функций хватает достаточно. Первоначальный интерфейс был гораздо удобнее в том, что он был целиком… Это большей части визуализация. Ц меня красным горели то, что не оплачено целиком. А не маленькая точка с боку. А так получается люди, которые оплатили и еще живут и люди, которые не оплатили они одинакового цвета. Разница у них только в маленькой галочке справа.","3"
"Затруднились; когда заполняешь данные гостя, данные организации , реквизиты программа перестала сохранять реквизиты, при повторном заезде нужно по новой заполнять.; уже сказали; проблема,с которой обращались, не решена; все устраивает; сама программа очень понятная, бронирование приходит вовремя без задержке.","8"
"Быстродействие сервиса: сервис работает не быстро. Когда мы начинаем бронировать группу, сервис просто тормозит. И чтобы забронировать одно койко-место у нас уходит до 20 секунд из-за того, что сервис лагает. Это все завязано.","5"
"; 1) сама шахматка работает некорректно, с заеданием, прокручивается через раз; чтобы я крутил колёсико 1,2 раза крутанул и она быстро, плавно переместилась, а то приходится вверх-вниз вверх-вниз крутить, чтобы было продвижение; нареканий нет; тоже нареканий нет; контур.мвд передача данных - это удобно, одним кликом ты заполнил, это ты отправил - это удобно; работа самой бронью, ранние и поздние выезды, работа с деньгами","3"
"Затруднились; Все работает/нет проблем; все устраивает, довольно быстро реагируют; не общается; Ничего/обычный сервис","3"
"есть другая программа для бронирования; не удобно печать квитанцию за проживание, не входит в А4, должна быть отдельная квитанция за курортный сбор на каждого гостя, тарифы стоимости номеров, не могу поменять стоимости на конкретный номер на постоянного клиента при прямом бронировании; вручну поменять стоимость на номер, квитанция что бы печаталась в альбомном формате в формате А5, в 2х экземплярах печаталась квитанция за курортный сбор; в справочнике ФМС не все данные по адресам, печатание ФИО печатается с маленькой; что бы не было ошибок, ФИО что бы печатается с заглавной; все устраивает; все устраивает; Ничего/обычный сервис","3"
"затрудняюсь; Затруднились; выпадает часто ошибка, человека забиваешь и в конце когда нажимаете заселить, то выпадает. Бывает и в середине и в конце, но чаще в конце. чаще при ""Применить"" выпадает. И забиваешь все заново. Это очень часто. Бывает сама когда в комнату заходишь""Заселить человека"" сразу выдает английский язык, и нужно перезагружать контур, оно раз обновится и все хорошо. Бывает не с первого раза.; уже сказали; отвечают на наши вопросы. не ответили сможете ли мы заселить гостя по загранпаспорту. Сказали уточнить в мвд,а у нас гость сидит.; все устраивает; Ничего/обычный сервис","3"
"возможность напрямую с гостями связываться, то есть когда через букинг гость запрашивает бронь то хотелось бы с ним связаться не через почту а лично.; уже сказали; Все работает/нет проблем; все устраивает; все прекрасно, очень милые люди; то что это очень быстро оперативно информация поступает, это очень удобно. Нет никаких вообще претензий,все замечательно","4"
"еще нет, потому что все установили под конец сезона; Затруднились; когда забиваешь журнал адресов,прописки не всегда находится адрес нужный. Приходится по нескольку раз забивать выискивать.; уже сказали; пока не сталкивалась; не общались; Ничего/обычный сервис","5"
"кроме блока бронирования есть ФМС, несколько вариантов оплаты, цвета разные на гостей","2"
"Всего хватает; при обновлении страницы вылетает система, при внесении бронирования, не вносилось, писалась ошибка,; не было сбоев; все устраивает, бысто все решается; все устраивает;","7"
"сайта нет; не отображает в букинге не видят бронь, черный список, не сохраняются данные паспортные данные не у всех гостей, мобильное приложение- прослушать запись; ранее сказала; Все работает/нет проблем; все устраивает; все устраивает; все хорошо, нравится работать и общаться с сотрудниками","2"
"Поэтому у нас нет с Букингом взаимодействия. ; уже сказали; все хорошо; все хорошо; комфортный для использования, ничего слдожного в нем нет,любой пользователь пк сможет им пользовтаься, легкий интерфейс.","7"
"Всего хватает; Канал менеджер, я на Букинге регистрировался, мы заплатили за годовое обслуживание около 18 000, и туда не входил Букинг, что плохо. Поэтому я делал это сам. У нас в пакете не было посторонних площадок, а я об это мне знал.","7"
"не уверена; Всего хватает; при постановке на учет наблюдаются задержки , либо при снятии с учета.; уже сказали; вопросов нет; не было такого; Ничего/обычный сервис","8"
"ночной заезд, 2 ночи; заезд ночью в 1 час или 2, а выезд в 12 того же дня; Все работает/нет проблем; все устраивает; все устраивает; понятная программа,","9"
"Тогда только выселяется. Это неудобно, раньше было по другому, но может это мы что-то нажали","3"
"Всего хватает; иногда приходится перезагружать, сервис пишет""Перезагрузите"". Сами перезагружаем и все работает дальше. Когда приходит письмо на почту то нет уведомлений , постоянно приходится смотерть(неуверенна что это к нам); уже сказали; все нормально, консультировали; все нормально; когда было выселить гостя нажмали на на номер и другие действия и сразу гость автоматически выселялся, сейчас же нужно сначала выселить , потом зайти снова , а потом уже др действия и тогда уже только можем удалить бронирования.","5"
"пока переходим постепенно на нее, только начали тестировать","5"
"в бинобебыло так -наставляешь на человека и появляется строчка с разноцветными галочками и галочками разноцветными помечаешь откуда бронь . Все наглядно. Не нужно курсор на каждого наводить; уже сказали; Все работает/нет проблем; все устраивает, недавно контур Фмс не работал и все наладили и помогли. Молодец; все хорошо; очень удобно , если ты заносишь в шахматку то он сразу попадает в контур фмс.","5"
"пока не требуется, у нас база отдыха на пляже,регистрацию туристов пока, пока нет иностранных граждан; Затруднились; Все работает/нет проблем; все устраивает; все нормально; онлайн бронировать очень удобно,на площадках размещать,то что синхронизация идет сразу . Совмещается с кассовым аппаратом.","3"
"Синхронизация с островком работает, а букинг надо открывать,смотреть и надо по новой переподключаться. Сейчас на данном этапе проблема решена.; уже сказли; все устраивает, достаточно быстро отвечают; тоже замечаний нет; электронная регистрация в мвд замечательная и вся отчетность на которую не надо много времени тратить","7"
"нет действующего сайта (но планируют); передвижение брони при работе в сервисе в шахматке; чтобы мышкой можно просто было перетаскивать, при полной загрузке нужно оперативно сортировать номера, поменять местами, эта функция очень удобна, а сейчас же у нас так не получается; Все работает/нет проблем; на данный момент всё хорошо; всё хорошо, всё налажено, оперативно, внимательно; что контур.фмс и контур.отель в одной программе, меньше вносить","7"
"Всего хватает; ошибку выдает календарь бронирования, постоянно выскакивает ""Ошибка"", первоначально ее не было. Постоянно выскакивает. Календарь открыт в постоянном режиме,начинаешь бронь проставлять и выскакивает. Слетало подключение с букинга, не было синхронизации. С техподдержкой это решили.","5"
"Когда взяли, казалось, что голый. Прошло полгода, и мы видим, насколько быстро и хорошо сервис наполняется. Многие организации начинают пользоваться вашим сервисом, что помогает нам взаимодействовать. Достаточно активно идет разработка каких-то новых нюансов. Очень понравилось, что есть Контур Клик, где можно сделать сайт и самостоятельно его наполнять. Но я не могу до конца с ним разобраться.","8"
"там у нас сейчас с сайтом проблемы, так что нет, но планируем наладить; больше вариантов для отчётов по гостям; Мне нужно определить сколько у нас постоянных гостей, сколько людей лояльны по отношению к нашему отелю и раз за разом возвращаются. Когда я запрашиваю такую отчетность по гостям, он мне просто выдает список гостей за тот период. Это список невероятно огромен. Нельзя сделать так: Иванов был у нас 10 раз за такой период. И чтобы это ранжировать можно было 10 раз, 5 раз, 2 раза. ; Все работает/нет проблем; в принципе, нет, в 90 % случаев нашу проблему решали и всё получалось; меня не устраивает текучка с кадром в нашем филиале Ставропольском, начинаешь работать с одним, он куда-то девается, мне уже это надоело и я перестала обращаться, стала звонить в тех.поддержку, потому что там сложно чего-то добиться, мне кажется они не успевают наработать опыт и уходят; Он очень простой. Приходят работать администраторы и даже без особых знаний технологий, без особого опыта работы на компьютере они спокойно интуитивно работают. Быстро начинает все получаться. Постоянно сервис улучшается.","10"
"сами носим, почему не знает; затрудняется; Всего хватает; Все работает/нет проблем; все устраивает; все хорошо; Ничего/обычный сервис","7"
"Всего хватает; с кассового модуля не передается чек, касса штрих ФРК не поддерживает система, поддержка касс кроме отола, чтобы поддерживала система кассы кроме отола,; Затруднились; не сделали работу с кассой (кассу штрих ФРК не поддерживает система),; менеджер пообещал(не компетентный), что касса штрих ФРК будет работать с системой, не консультировался,; паспортные данные вводишь, код подразделения и она сразу всю информацию выдает,","7"
"не сезон, пока не работаю; пока не подключила; Всего хватает; Затруднились; сложно дозвониться, перенаправляют от одного кдругому; менеджер по продаже из Екатеринбурга продал и пропал; экономия времени при подаче данных в МВД","5"
"пользуемся другим ПО; ну я не в компетенции отвечать на такие вопросы, решение руководства; Всего хватает; снятие с учета иностранных граждан; ну обработка документации побыстрее; сейчас сказать не могу, в начале сезона был у нас вопрос, и он решался очень долго - затянулся, в течение суток наш вопрос не решился, нас переадресовывали от одного к другому, когда консультанты нам перезвонили, вопрос уже своими силами решился; всё устраивает; Ничего/обычный сервис","7"
"заявок пока нет ,не приходило, все идет через электронку или факс; Всего хватает; очень медленная загрузка при хорошем интернете. сетка регистрации в мвд неудобная(знает что у них не подключена); там где идет место жительства , запись фамилия имя данные и тд. а уже прописка которая необходима, идет в закрытом окне. его нужно открывать и вносить эти данные . программа немножко тупит.; еще не общались; лично не общались; сейчас программа бесполезная, ни одна компания с нами не работает по данной программе. Вбиваем если вдруг какая-то наша компания захочет с нами поработать ,что кто-то захочет работаь по неей с нами","6"
"получать быстрые консультации по сложным вопросам регистрации; Специалист не просто технический, а подкованный с точки зрения иммиграционного учета. ; Все работает/нет проблем; я всегда получала оперативную помощь именно в тех.поддержке, всё нормально; всё устраивает; По отзывам коллег это стабильность. Вот как я начала с вами работать в 15 году, так и работаю. А тек, то регистрировались через Тревол Лайн, другие сервисы, они все время перескакивают с одного на другой. У меня хорошо, все работает. Отправляется, регистрируется. Фирма известная в России. Развиваетесь, вводите новые функции.","8"
"возможность поставить предоплату, посетители дневного пребывания; при бронировании в депозите что бы можно было поставить предоплату, отдельная вкладка для посетителей дневного пребывания; при бронировании номера на месяц в перед , при кнопке сохранить, программа вылетала; не было сбоев; все устраивает; все устраивает; сразу заполенная анкета сразу передается в мвд","9"
"чтобы была пустая ячейка, что бы можно увидеть цену на номер; чтобы была пустая ячейка, что бы можно увидеть цену; при внесении данных гостя, при нажатии кнопки сохранить появляется белое пятно, приходится перезагружать,; не было сбоев; все устраивает; все устраивает; подсказки при занесении данных выходят варианты","8"
"у нас недоступна такая функция; модуль очень коряво написан, скажем так, на сайт он добавляется, но не появляется, не высвечивается и вообще не получается, ни у меня, ни у айтишников, связались с вашим сервисом, но ничего толком нам не ответили; Ушли на Биново. Во-первых, сервис очень тупит в браузере. Мышкой прокрутить всю шахматку, у меня это не получается сделать, шахматка зависает. Мне приходиться брать бегунок и передвигать им. Второе, у меня заселены люди, отображается, что заселены и оплачены. Допустим, сегодня 19 декабря, а человек жил до 17. И администратор вдруг забыл просто нажать на выселил. Полоска не меняется никаким цветом, время уже после 12, ты должен принять решение – выс6елять или продлевать человек. А так он находится в зеленой стадии – оплачено и заселен. Все. Ничего нет. Нужно оповещение, что человека надо выселить или продлить. Еще у меня есть заполнить уведомление о прибытии, об убытии, если у меня недоступен, допустим. Недоступна функция отправки в МВД. У меня ее нет. Заполнить уведомление об убытии иностранного человека. Пожеланий много. Есть такой сервис БМС Бинова. Если вы знаете эту систему, то можете посмотреть не нее, как она работает. Потому что я работал с тем сервисом ни раз, он меня очень устраивает, и скорее всего мы будем переходить на него. ; Мне чтобы добавить нескольких пользователей нужна какая-то отчётность кто и где что совершил. У меня есть главный аккаунт, мне нужно добавить еще 4 администраторов, чтобы я в своем аккаунте видел, что видел администратор. Что он заселил столько-то людей, выселил столько-то. Я вижу, что можно добавить, но я не вижу никакой отчётности. Функция недоработана. ; ""сохранить и перейти к заселению"" не всегда работает корректно, после обновления остаётся белый фон, компьютер у меня не слабый, я создал бронь, выбираю тариф, нажимаю ""сохранить и перейти к заселению"", у меня создаётся бронирование, бронирование сохранено, и перехожу к следующей странице, и она не всегда загружается хорошо, просто белый фон, нужно снова, возможно всё-таки проблема с компьютером или с оптимизацией; я нажимаю - мне должно перейти именно на ту вкладку, которую я нажал, она должна полностью загрузиться. и я хочу сказать до обновления, где появились у вас различия по цветам, всё работало в принципе хорошо, и шахматка нормально прокручилась, а после этого некомфортно вообще, медленно всё получается; связывался пару раз, связался - мне не помогли ответить на вопрос и решить проблему, дальше не старался звонить и расспрашивать; по общению всё в порядке, просто ваши сотрудники говорят, что мы то-то сделать не можем, либо создают заявку и говорят ожидайте ответа на почту, но ответ мне так и не пришёл; Ничего/обычный сервис","6"
"пока в стадии настройки ,в дальнейшем планируем; пока заселяемость такая,что необходимости нет; пытались его настроить но что-то не получилось. не прикрепилось. Сайт пока дорабатывается, к этому вопросуц еще вернемся; Всего хватает; Все работает/нет проблем; все устраивает, мы туда не настолько активно обращались; нет вопросов, крайне положительное общение; простота настройки и возможноть работы с абсолютно любого компььютера, руководитель может в любую секунду посмотерть отчеты и др . Не нужно устанавливать отдельно на каждый компьютер. Скорость работы благодаря браузеры. Не громоздкий даже для старого компьютера.","8"
"нет необходимости в этом; Всего хватает; Все работает/нет проблем; всё устраивает; не общались; Ничего/обычный сервис","7"
"пока на бумажном варианте бронируем, потому что зимой немного людей.","5"
"Всего хватает; Все работает/нет проблем; хорошо работает, быстро; замечаний пока нет; Отправка Мвд удобная- ошибки все показывает, проблем нет с отправкми . Шахматка-все видно, все хорошо. предлагали др программу но не ушли","10"
"привыкла по старинке, не привычно, в бумажном виде работаю","7"
"Всего хватает; при переводе на латиницу расхождение букв, не совпадают; чтобы на английском без ошибок; все устраивает, моментально принимают решения; все устраивает; паспортные данные легко в паспортную службу подавать, раньше надо было ходить, гость если отдыхал в другой гостинице, попал в сеть, высвечивается вся анкета","7"
"полноценный вид шахматной таблицы, дело в том что в таблице бронирования, она разворачивается только сегодняшний день и завтрашний день, а хотелось бы видеть все дни сразу видеть (например за 30 дней) а тут нужно листать по датам.; уже сказали; уведомления в мвд не всегда уходят, выдает ошибку и светится красным значком, хотя все поля заполнены. Регулярная проблема.; уже сказали; все устраивает; всегда отвечают на все вопросы; Бронирование, ведение номеров в шахматной таблице. Также очень нравится, что при поступлении новых сотрудников у вас выложены видео файлы по обучению работы в контуре. Без звонков можно найти всю информацию онлайн.","10"
"Хотелось бы чтобы это более просто было,не столько времени занимало на поиск этой информации. Долго не проходит адрес.; уже сказали; лично не обращались; лично не общались; нравится то что можно выставить номера на тех площадках с которыми мы сотрудничаем и сразу отображаются, не нужно отдельно на эти площадки заходить и выставлять. Но бывают задержки. Регистария гостей удобная, то есть вводишь адрес и уже выходит карточка гостя(есть нюансы,ранее говорили)","7"
"не всегда идет одновременное бронирование на площадках и отражение в контуре. иногда в контуре появляется раньше или позже чем в букинге. К нам уже приходит с букинга бронирование а в контуре до сих пор этого нет. По поводу бронирования-иногда количество номеров выставленных и тех что по факту-не совпадает. В контуре-2 номера, ав букинге-нет номеров, или наоборот больше. Не всегда приходят отмены бронирований, мы чтобы увидеть что отмена пришла, то нужно все брони посмотреть и увидеть что отменено. хотелось бы, чтобы Все изменения в бронировании дублировались на эл почту. Потому что у нас не так много номеров и у нас ,чтобы лучше отражалась информация. Не всегда отменяется бронирование. Если бронирование со сторонней площадки, не удаляются это бронирование в контуре. А в контуре мы не можем это отменить так как просят перейти на площадку бронирования, а там то оно уже отменено , то есть мы ничего не можем сделать.; уже сказали; не всегда корректно отражаются адреса при регистрации, например по новой москве когда записываем, то пишут что нет таких адресов. Мы видим в паспорте,что это такая то улица, населенный пункт,а у нас выделяется оранжевым и пишут что нет такого населенного пункта. Или например по питеру забиваешь адрес ,а там нет такого.","6"
"сайт не работает; при бронировании оплата не всегда продит полностью, наличными и картой; дополнительная строчка- оплата наличными и картой; Все работает/нет проблем; все устраивает; все устраивает; курортный сбор появился,","3"
"функция на базе одного тарифа можно создать второй тариф с определённой скидкой или надбавкой; Например, есть стандартный тариф – общий, который на все площадки рассылается. А мы заинтересованы в том, чтобы бронировали напрямую. У нас через ваш модуль, который на сайте у вас стоит. И мы для этого сайта сделали спец тариф и назвали его Онлайн. Было бы удобно, если бы этот тариф базировался на стандартном. Грубо говоря, был Стандартный тариф, а Онлайн всегда на 10% ниже. Поэтому если я исправил цену в Стандартном тарифе, она бы в Онлайн автоматически исправилась. А сейчас мне надо исправить в Стандартном, а потом еще и в Онлайн тоже. ; Все работает/нет проблем; техники всегда отлично работают, всё быстро, постоянно; всё устраивает; удобный интерфейс, очень просто, хорошо, когда всё в одном месте, завели гостя, нужно отправить в мвд данный - К.О комлексно решает задачи все, которые есть","8"
"приостановка","1"
"но должно работать, быть удобным. Как у Бенова гость на этапе бронирования забивается ФИО, какие-то данные. Все это уже сразу идет в работу. Попало, как бронирование, отобразилось как гость. Если ты это подтверждаешь, то тебе даже ФИО не надо перезабывать. Здесь при бронировании раз забиваешь, при заселении – снова забиваешь. ;","2"
"нам его не подключили, да, мы должны его использовать, мы всё в системе проплатили, но всё до сих пор в каком-то непонятном состоянии, услуга не работает; Затруднились; Начиная от на печатывания счетов, вот этой формы, до подтверждения бронирования. Все сырое. Надо печать руками, сохранять где-тол. Прямо из программы нечего не печатается. Хотя бы взяли этот органайзер посмотрели, как в 1С. База клиентская сырая. Чтобы найти отчётность хотя бы по загрузке, такого нет. Статистика тоже ничего не формирует. ; есть грамотные товарищи там у вас, а есть так, переключают, вот ответа на последнее, что я задавала - модуль бронирования, копирую на свой сайт, ничего не получается, до сих пор не один специалист не ответил, твердят, что у меня должен быть свой сис.админ, а если бы у меня был свой сис.админ, я бы им не звонила, мне надо такую систему, которая бы мне помогала, а не твердила, что у меня нет сис.админа в штате; ответить на мои конкретные какие-то вопросы редко кто может, было пару раз, дозвонишься, подключишься, скажут что не наша компетентность, мы передадим специалисту, а потом опять и ""у нас там в разработке"" и подобное; Ничего/обычный сервис","2"
"иногда бывает что не можем зайти в контур отель, долго загружается, или вообще не грузится, даже было по два дня не заходило, в тех поддержке помогли; уже сказали; один раз было такое ,что начала заполнять а там все стало на иностранном языке, потом позвонили в тех поддержку и все исправили; уже сказали; все устраивает; все хорошо; то что мы сейчас отправляем сразу в мвд ,не то что раньше. иногда нажимаешь ""Рассчет"" и приходится вручную заполнять,выходим и заходим в кассу маркет.","3"
"модуль онлайн бронирования для сайта, не предложил менеджер,; чтобы предложили; Все работает/нет проблем; все устраивает; все устраивает; отправка в мвд, регистрация иностранцев","8"
"Всего хватает; Все работает/нет проблем; затрудняюсь; затрудняюсь; Ничего/обычный сервис","7"
"не могу сказать; Всего хватает; долго обрабатывалась постановка на учет. Проблему решили.; уже сказали; все устраивает; все устраивает; Ничего/обычный сервис","7"
"мы пытались. когда мы вводили номера, например в трехместном номере если заселен 1 человек, то второго подселить невозможно, так как пишут что номер уже занят. Именно чтобы вести нам когда гость въезжает и выезжает нам не очень удобно отслеживать, но, это было давно и точнее не помню. Сейчас мы пользуемся только контур ФМС , но она тоже не до конца доработана , мы и в электронном виде сдаем и в бумажном. Хотелось чтоб в анкете можно было указывать администратора кто печатает анкету на гостя. Но так-то программа очень удобная.","8"
"пока нет, зарегистрировали только пол месяца назад, еще не провели обучение сотрудников; во-первых нет отдельного доступа к каждому сотрудника, то есть я не могу отследить кто из сотрудников внес изменения.По оплате- Просто фиксируется факт оплаты, не фиксируется дата(а люди иногда частями платят же) Когда заносим новую бронь и пытаемся ввести данные человека, нам не выходят данные человека, нам приходится вводить заново(контактное лицо). с телефона работать вообще невозможно, приходится переключаться,обновлять, где-то окно не целиком показывается. С телефона невозможно работать . Бывает что люди у нас живут по часам, если он выехал, то я не могу другого гостя заселить.Хотя номер свободен.Каналы бронирования-101 отель так и не подключили, хотя обещали в техподдержке. Мне нужно сделать акцию на три дня . в некоторых программах мы можем в шахматке выделить три даты и для всех поменять суммы,а тут приходится в каждую заходить и меня сумму.; уже сказали; Все работает/нет проблем; пытаются,отвечают оперативно. Каких-то прям проблем в обратной связи нет. По началу сообщаешь о какой-то проблеме и они например говорят для того чтобы мы решили этот вопрос и просят ответить на вопросы и присылают список , я еще и должна тех поддержке прописать как это сделать; пытаются помочь и отвечают; то что он дает регистрацию в МВД-это плюс, но к сожалению мы проподключали ее очень долго. Нравится Цветовая характеристика,когда стало по разному высвечиваться оплачено/неоплачено и тд, (в шахматке) ,понравился отчет по долгам. Например в др сервисе, в котором мы работаем есть история изменений,если кто-то поменял что-то изменил, то эта история сохраняется, еще и с привязкой к учетной записи, если кто-то накосячил, то я вижу кто это слделал. а тут я не вижу как изменялась бронь во времени,что в ней редактировалаось.; продукт менее доработан чем тот с которым работает др объект","6"
"Первое то, что я писала заявку, там, когда делаешь отчет по продажам, у нас гостиница, администратор заступает на сутки. Рабочий день с 9 утра 20 числа и заканчивается 9 утра 21 числа. И за этот день мне надо проверить сколько она продала. А у вас нет времени, а с 20 по 21 полностью сутки. Время нельзя поставить, то есть некорректные данные отражаются, потому что затрагивается дежурство другого администратора. А мне нужно посмотреть ее выручку. По оплате н зачеркивается, когда вы видите клиента, каким-то бы цветом помечалось за сколько суток он заплатил. Допустим, живет 10 суток, помечен у меня зеленым цветом, когда живет. Он оплатил 1000 за сутки, а она как горела полностью зеленым цветом, так и горит. Чтобы он менялся, чтобы администратор понимал, когда брать с него деньги. У нас до этого была программа, в ней было все, но они, к сожалению, перестали существовать. Если бы они ее проштудировали, все ее плюсы, у вас была бы идеальная программа. У нас часто живут командировочные с бюджетных организаций. И у них запрашивают справки о проживании. Я тоже отправила вашим менеджерам этот вопрос. У вас есть своя анкета. В ней язык программирования занесен. Она идет стандартная, просто меняется фамилия, когда мы заселяем гостя, эта фамилия меняется. Заселяем другого- другая. Там какой-то алгоритм забит. Я попросила внести справку, у меня есть образец. И чтобы они мне дали алгоритм. Фамилия, чтобы, когда я заносила, как анкета… только такая была бы справка о проживании. Чтобы не вручную каждый раз забивали. В той программе, в которой мы раньше работали, я заходила в образец, и там были прописана абракадабра программирования. Фамилия, срок проживания и я могла занести… У вас нет возможности занести мой личный документ. У вас только есть анкета. А справка о проживании и своего рода образец своей анкеты, которая по законодательству там есть, одна из форм. Я попросила ребят добавить, они сказали, что это тоже сейчас технически невозможно. Я оставляла заявку на это и отправляла им образец того, что я хотела бы видеть. ; я обьясняла,; по отправке в МВД миграционных карт на иностранного гостя запрашивает кпп, у контура определенный список, нет нужных, нет возможности добавить; чтобы можно было внести свое; долго работает, очень проблематично, не дозвонишся; менеджер не компетентный был; цена, доступная программа, подавать в мвд данные можно","7"
